City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
497,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
498,Kuala Terengganu,MY,76.93,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
499,Denpasar,ID,76.71,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
501,Deshnok,IN,74.82,clear sky,27.7986,73.3447,Royal Karni palace
504,Tazmalt,DZ,68.2,overcast clouds,36.3868,4.3989,Hôtel Numédia
505,Atambua,ID,75.58,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
506,Nouadhibou,MR,68.31,clear sky,20.931,-17.0347,El Medina
510,Kodinar,IN,75.27,overcast clouds,20.7903,70.7031,residency of N.B vadhel
514,La Union,PE,76.91,clear sky,-5.4,-80.75,Los Portales
516,Meulaboh,ID,75.47,moderate rain,4.1363,96.1285,Kost Pria
518,Morro Bay,US,77.0,overcast clouds,35.3658,-120.8499,Inn at Morro Bay
520,Thai Binh,VN,68.0,overcast clouds,20.45,106.3333,Sweden Hotel
523,Bubaque,GW,78.98,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
524,Kibala,TD,78.76,overcast clouds,9.1104,18.3463,hotel safari
525,Nakhon Thai,TH,72.52,broken clouds,17.1006,100.8374,Phet resort
526,South Yuba City,US,74.05,haze,39.1166,-121.6391,Bonanza Inn & Suites Yuba City
529,Buba,GW,74.03,overcast clouds,11.5833,-15.0,Pousada Bela Vista
530,Gigmoto,PH,79.45,overcast clouds,13.7796,124.39,Cj's Travellers Inn
531,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
536,Akyab,MM,78.03,broken clouds,20.15,92.9,Hotel Memory
537,Laela,TZ,70.5,broken clouds,-8.5667,32.05,
545,Pangai,TO,76.82,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
546,Amuntai,ID,71.73,broken clouds,-2.4177,115.2494,Hotel Balqis
548,Harindanga,IN,75.18,overcast clouds,22.0383,88.3214,Hasanur Builders
549,Mapiripan,CO,79.43,overcast clouds,2.8892,-72.1256,Monserrate
554,Kikwit,CD,72.14,light rain,-5.041,18.8162,HOTEL PLACE YALABA
558,Owando,CG,74.88,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
563,Nha Trang,VN,77.0,heavy intensity rain,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
566,Inhambane,MZ,71.04,clear sky,-23.865,35.3833,Oceano
568,Tsogni,GA,76.01,light rain,-2.7942,10.0988,
570,Beni,CD,63.64,light rain,0.5,29.4667,Albertine hotel
574,Lae,PG,78.19,overcast clouds,-6.7221,146.9847,Phils Hotel
581,Kampong Thum,KH,73.69,broken clouds,12.7111,104.8887,Sambor Village Hotel
584,General Higinio Morinigo,PY,71.13,overcast clouds,-25.95,-55.9167,
585,Micheweni,TZ,77.67,few clouds,-4.9667,39.8333,
587,Gat,IL,72.39,broken clouds,31.61,34.7642,OlusHome
594,Aljezur,PT,68.95,overcast clouds,37.3191,-8.8033,Amazigh Hostel
598,Middle Island,US,61.18,broken clouds,40.8843,-72.9373,
600,Pak Phanang,TH,78.66,heavy intensity rain,8.3511,100.202,Green Park Inn Hotel
601,Gandorhun,SL,72.54,moderate rain,7.5,-11.8333,
606,Marataizes,BR,71.55,overcast clouds,-21.0433,-40.8244,Ed. Barra Shopping
608,Chauk,MM,75.96,clear sky,20.8833,94.8167,Bo Khin Guest House
611,Alofi,NU,76.44,light rain,-19.0595,-169.9187,Taloa Heights
612,Kawalu,ID,71.91,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
613,Ravar,IR,62.83,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
617,Solano,US,72.1,overcast clouds,38.2333,-121.9511,Westwind Inn
620,Westport,US,62.06,overcast clouds,41.1415,-73.3579,Norwalk Inn
623,Huarmey,PE,68.34,broken clouds,-10.0681,-78.1522,Hotel Miramar
626,Inirida,CO,77.83,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
635,Mbini,GQ,78.06,light rain,1.574,9.6134,
640,Moroni,KM,76.06,clear sky,-11.7022,43.2551,Hotel les Arcades
644,Waipawa,NZ,61.45,clear sky,-41.4122,175.5153,Tora Coastal Walk
646,Sarankhola,BD,70.45,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
647,North Bend,US,61.92,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
654,Ripoll,ES,60.13,overcast clouds,42.2006,2.1903,Hotel Solana Del Ter
658,Shingu,JP,60.06,light rain,33.7333,135.9833,Shingu UI Hotel
659,Vao,NC,70.9,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
665,Cam Ranh,VN,76.96,thunderstorm with light rain,11.9214,109.1591,OYO 598 Peony Hotel
669,Florence,IT,62.24,clear sky,43.7667,11.25,Italiana Hotels Florence
671,Bikaner,IN,75.65,clear sky,28.0167,73.3,Karina Guest House
672,Bani Walid,LY,70.12,broken clouds,31.7566,13.9942,منزل الصابر أبوفانة
673,Kudat,MY,79.07,overcast clouds,6.8837,116.8477,Dream Garden Hotel
674,Cedar City,US,67.17,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
675,Ponta Delgada,PT,73.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
676,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
680,Tebingtinggi,ID,73.04,heavy intensity rain,3.3285,99.1625,Hotel Malibou tebing tinggi
685,Talcahuano,CL,64.08,clear sky,-36.7167,-73.1167,departamento comodo
687,Bereda,ES,61.0,overcast clouds,43.2686,-7.5406,Pazo de Verdes
689,Banda Aceh,ID,78.1,overcast clouds,5.5577,95.3222,Sulthan Hotel International
