City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
72,Lerwick,GB,2021-10-18 23:22:48,60.1545,-1.1494,53.6,96,100,18.5
73,Kodiak,US,2021-10-18 23:22:49,57.79,-152.4072,45.91,76,90,14.97
74,Ixtapa,MX,2021-10-18 23:21:51,20.7,-105.2,88.83,66,75,10.36
75,Mufumbwe,ZM,2021-10-18 23:22:49,-13.6833,24.8,71.6,60,94,3.87
76,Geraldton,AU,2021-10-18 23:22:50,-28.7667,114.6,63.01,88,75,19.57
77,Katima Mulilo,NA,2021-10-18 23:22:50,-17.5,24.2667,72.97,53,72,12.97
78,Sokoni,TZ,2021-10-18 23:22:51,-6.4333,39.55,77.22,83,74,11.63
79,Yagodnoye,RU,2021-10-18 23:22:51,62.55,149.6667,-1.84,93,100,4.12
80,Saskylakh,RU,2021-10-18 23:22:52,71.9167,114.0833,21.72,98,100,1.01
81,Puerto Ayora,EC,2021-10-18 23:18:10,-0.7393,-90.3518,71.04,81,72,10.65
82,Havoysund,NO,2021-10-18 23:22:53,70.9963,24.6622,29.28,63,100,20.78
83,Zhezkazgan,KZ,2021-10-18 23:22:53,47.8043,67.7144,43.95,37,7,8.81
84,Clyde River,CA,2021-10-18 23:22:54,70.4692,-68.5914,32.23,93,90,23.02
85,Jabinyanah,TN,2021-10-18 23:22:54,35.035,10.9081,64.2,65,38,9.22
86,North Vernon,US,2021-10-18 23:22:55,39.0062,-85.6236,62.42,64,0,3.87
87,Dikson,RU,2021-10-18 23:22:55,73.5069,80.5464,28.74,97,100,22.12
88,La Ronge,CA,2021-10-18 23:22:56,55.1001,-105.2842,41.25,65,75,9.22
89,Constitucion,CL,2021-10-18 23:22:56,-35.3333,-72.4167,58.33,73,6,12.03
90,Sobolevo,RU,2021-10-18 23:22:56,54.4299,31.8996,35.69,87,13,10.13
91,Avarua,CK,2021-10-18 23:22:57,-21.2078,-159.775,78.85,69,75,8.05
92,Hay River,CA,2021-10-18 23:19:14,60.8156,-115.7999,40.98,52,20,1.14
93,Chokurdakh,RU,2021-10-18 23:22:57,70.6333,147.9167,-13.9,100,91,5.06
94,Da Nang,VN,2021-10-18 23:22:58,16.0678,108.2208,75.18,100,75,6.91
95,San Felipe,VE,2021-10-18 23:22:58,10.3399,-68.7425,75.76,88,54,2.51
96,Barcelos,PT,2021-10-18 23:22:59,41.5388,-8.6151,68.92,88,51,3.33
97,Lakselv,NO,2021-10-18 23:22:59,70.0513,24.9718,31.82,74,20,17.27
98,Katsuura,JP,2021-10-18 23:20:19,35.1333,140.3,57.31,89,100,13.02
99,Shambu,ET,2021-10-18 23:23:00,9.5667,37.1,49.86,72,7,4.21
100,Georgetown,MY,2021-10-18 23:23:01,5.4112,100.3354,79.9,93,40,0.0
101,Busselton,AU,2021-10-18 23:23:01,-33.65,115.3333,59.04,95,100,20.18
102,Mehamn,NO,2021-10-18 23:23:02,71.0357,27.8492,33.58,63,100,22.19
103,Vestmannaeyjar,IS,2021-10-18 23:23:03,63.4427,-20.2734,47.68,79,100,14.34
