City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
59,Kaitangata,-46.2817,169.8464,58.05,57,100,5.86,NZ,2021-10-30 21:07:48,overcast clouds
60,Georgetown,5.4112,100.3354,77.9,92,20,0.0,MY,2021-10-30 21:07:48,few clouds
61,Coquimbo,-29.9533,-71.3436,60.53,77,20,8.05,CL,2021-10-30 21:07:23,few clouds
62,Puerto Ayora,-0.7393,-90.3518,78.76,81,94,9.22,EC,2021-10-30 21:07:49,overcast clouds
63,Jamestown,42.097,-79.2353,56.52,85,90,3.0,US,2021-10-30 21:06:46,overcast clouds
64,San Patricio,28.017,-97.5169,86.41,17,0,2.17,US,2021-10-30 21:07:50,clear sky
65,Egvekinot,66.3167,-179.1667,0.5,90,100,10.78,RU,2021-10-30 21:07:50,overcast clouds
66,Jardim,-21.4803,-56.1381,76.5,81,86,4.7,BR,2021-10-30 21:07:50,overcast clouds
67,Manavalakurichi,8.1333,77.3,78.89,92,100,4.41,IN,2021-10-30 21:07:51,overcast clouds
68,Belle Fourche,44.6714,-103.8522,46.51,72,100,14.2,US,2021-10-30 21:07:51,overcast clouds
69,Enshi,30.3,109.4833,57.42,89,90,0.38,CN,2021-10-30 21:07:52,overcast clouds
70,Hobart,-42.8794,147.3294,56.26,62,75,4.0,AU,2021-10-30 21:00:28,broken clouds
71,Kasongo-Lunda,-6.4667,16.8167,70.97,96,100,0.74,CD,2021-10-30 21:07:52,overcast clouds
72,Esperance,-33.8667,121.9,56.21,69,13,14.83,AU,2021-10-30 21:07:53,few clouds
73,Lewiston,44.1003,-70.2148,54.23,98,90,8.05,US,2021-10-30 21:07:54,mist
74,Samarai,-10.6167,150.6667,82.72,79,99,13.67,PG,2021-10-30 21:07:54,overcast clouds
75,Port Elizabeth,-33.918,25.5701,57.09,93,4,3.42,ZA,2021-10-30 21:07:55,clear sky
76,Qaanaaq,77.484,-69.3632,2.01,54,0,8.72,GL,2021-10-30 21:07:55,clear sky
77,Faanui,-16.4833,-151.75,78.13,69,15,16.46,PF,2021-10-30 21:07:55,few clouds
78,Wum,6.3833,10.0667,65.23,93,75,2.62,CM,2021-10-30 21:07:56,light rain
79,Bras-Panon,-20.9967,55.6782,71.22,82,55,3.67,RE,2021-10-30 21:07:56,broken clouds
80,Maragogi,-9.0122,-35.2225,77.02,73,0,10.29,BR,2021-10-30 21:07:57,clear sky
81,Katra,32.9833,74.95,55.71,38,0,9.01,IN,2021-10-30 21:07:57,clear sky
82,Kingsport,36.5484,-82.5618,55.26,93,90,1.01,US,2021-10-30 21:04:53,mist
83,Ponta Do Sol,32.6667,-17.1,72.72,76,31,6.96,PT,2021-10-30 20:56:20,scattered clouds
84,Saint-Ambroise,48.5501,-71.3324,49.59,61,82,9.64,CA,2021-10-30 21:07:58,broken clouds
85,Carmo Do Paranaiba,-19.0008,-46.3161,71.44,69,99,3.96,BR,2021-10-30 21:07:59,overcast clouds
86,Tuatapere,-46.1333,167.6833,49.62,95,100,16.4,NZ,2021-10-30 21:07:59,overcast clouds
87,Port Macquarie,-31.4333,152.9167,58.96,76,100,8.16,AU,2021-10-30 21:08:00,overcast clouds
88,Nicoya,10.1483,-85.452,76.55,86,99,2.42,CR,2021-10-30 21:08:00,overcast clouds
89,Mahebourg,-20.4081,57.7,70.25,77,25,4.88,MU,2021-10-30 21:08:01,scattered clouds
90,Pisco,-13.7,-76.2167,66.25,77,0,9.22,PE,2021-10-30 21:08:01,clear sky
91,Arraial Do Cabo,-22.9661,-42.0278,73.26,83,75,10.36,BR,2021-10-30 20:58:23,mist
92,Sobolevo,54.4299,31.8996,42.85,80,17,9.37,RU,2021-10-30 21:08:02,few clouds
93,Pangkalanbuun,-2.6833,111.6167,74.28,96,100,2.26,ID,2021-10-30 21:06:30,overcast clouds
94,Okha,53.5739,142.9478,29.26,61,100,16.96,RU,2021-10-30 21:08:03,overcast clouds
95,Laguna,38.421,-121.4238,75.24,71,1,1.01,US,2021-10-30 21:08:03,clear sky
96,Campbell River,50.0163,-125.2446,48.25,58,1,1.99,CA,2021-10-30 21:08:04,clear sky
97,Airai,-8.9266,125.4092,61.43,91,32,1.16,TL,2021-10-30 21:08:04,scattered clouds
98,Sola,-13.8833,167.55,81.05,69,3,16.82,VU,2021-10-30 21:08:04,clear sky
99,Ribeira Grande,38.5167,-28.7,70.74,89,100,16.37,PT,2021-10-30 21:08:05,overcast clouds
100,Saint-Philippe,-21.3585,55.7679,71.15,79,86,3.85,RE,2021-10-30 21:08:05,overcast clouds
101,Port Alfred,-33.5906,26.891,64.94,86,79,6.49,ZA,2021-10-30 21:01:43,broken clouds
102,Caravelas,-17.7125,-39.2481,74.17,85,93,6.62,BR,2021-10-30 21:08:06,overcast clouds
103,Tezu,27.9167,96.1667,66.99,49,38,3.36,IN,2021-10-30 21:08:06,scattered clouds
104,Guozhen,34.3659,107.359,55.81,89,100,5.75,CN,2021-10-30 21:08:06,light rain
105,Iqaluit,63.7506,-68.5145,36.7,64,100,15.99,CA,2021-10-30 21:08:07,overcast clouds
106,Acari,-15.4311,-74.6158,77.38,54,9,8.25,PE,2021-10-30 21:08:07,clear sky
107,Ilhabela,-23.7781,-45.3581,69.82,92,97,12.68,BR,2021-10-30 21:08:08,overcast clouds
108,Padang,-0.9492,100.3543,77.36,90,100,2.98,ID,2021-10-30 21:08:08,heavy intensity rain
109,Dengfeng,34.4553,113.0281,58.95,61,78,3.27,CN,2021-10-30 21:08:09,broken clouds
110,Flinders,-34.5833,150.8552,55.8,83,0,1.01,AU,2021-10-30 21:08:10,clear sky
111,Natal,-5.795,-35.2094,81.25,69,20,12.66,BR,2021-10-30 21:03:53,few clouds
112,Belmonte,-15.8631,-38.8828,77.5,81,95,6.89,BR,2021-10-30 21:08:10,overcast clouds
